threshold,class,count
0.1,BUY,636
0.1,SELL,5328
0.1,NO_TRADE,13150
0.3,BUY,636
0.3,SELL,5328
0.3,NO_TRADE,13150
0.5,BUY,42
0.5,SELL,1236
0.5,NO_TRADE,2235
0.7,BUY,15
0.7,SELL,0
0.7,NO_TRADE,0
0.8,BUY,11
0.8,SELL,0
0.8,NO_TRADE,0
0.9,BUY,0
0.9,SELL,0
0.9,NO_TRADE,0
